,channel_id,prop,sku_id,NextWeek_predict,distribution_sale,var
79,SH01SH29,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
80,SH01SH31,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
81,SH01SH32,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
82,SH01SH36,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
83,SH01SH37,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
84,SH01SH38,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
85,SH01SH46,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
86,SH01SH51,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
87,SX01SH04,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
88,SX01SH05,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
89,SX02SH01,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
90,TJ01SH01,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
91,TJ01SH02,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
92,TJ01SH04,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
93,TJ01SH05,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
94,TJ01SH06,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
95,TJ01SH07,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
96,TJ01SH08,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
97,TJ01SH12,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
98,TJ01ST02,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
99,TJ01ST08,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
100,YN01SH01,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
101,YN01SH02,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
102,YN01SH03,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
103,YN02SH01,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
104,YN02SH02,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
105,ZJ07SH03,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
0,AH01SH01,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
1,AH01SH02,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
2,AH01SH03,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
3,AH01SH05,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
4,AH02SH02,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
5,AH02SH03,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
6,BJ01SH01,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
7,BJ01SH02,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
8,BJ01SH03,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
9,BJ01SH04,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
10,BJ01SH07,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
11,BJ01SH09,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
12,BJ01SH12,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
13,BJ01SH13,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
14,BJ02SH01,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
15,CQ01SH01,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
16,CQ01SH02,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
17,CQ01SH04,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
18,CQ01SH05,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
19,CQ01SH06,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
20,CQ01SH07,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
21,CQ02SH01,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
22,FJ01SH01,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
