sku_id,Quantity
1218070132B01#2B01#34#31,1
1218070132B01#2B01#34#32,1
1218070152B01#2B01#32#28,2
1218070152B01#2B01#32#29,8
1218070152B01#2B01#32#30,6
1218070152B01#2B01#32#31,11
1218070152B01#2B01#32#32,3
1218070152B01#2B01#32#33,3
1218070152B01#2B01#34#33,1
1218070152B01#2B01#34#34,2
1218070162B01#2B01#32#28,12
1218070162B01#2B01#32#29,17
1218070162B01#2B01#32#30,36
1218070162B01#2B01#32#31,57
1218070162B01#2B01#32#32,58
1218070162B01#2B01#32#33,20
1218070162B01#2B01#32#34,4
1218070162B01#2B01#32#36,1
1218070162B01#2B01#32#38,1
1218070162B01#2B01#34#31,1
1218070162B01#2B01#34#33,1
1218070162B01#2B01#34#34,13
1218070162B01#2B01#34#36,21
1218070162B01#2B01#34#38,2
1218070232B01#2B01#32#28,3
1218070232B01#2B01#32#29,7
1218070232B01#2B01#32#30,9
1218070232B01#2B01#32#31,9
1218070232B01#2B01#32#32,7
1218070232B01#2B01#32#33,2
1218070232B01#2B01#32#38,1
1218070232B01#2B01#34#31,2
1218070232B01#2B01#34#34,1
1218070252B01#2B01#32#28,12
1218070252B01#2B01#32#29,17
1218070252B01#2B01#32#30,17
1218070252B01#2B01#32#31,18
1218070252B01#2B01#32#32,13
1218070252B01#2B01#32#33,6
1218070252B01#2B01#32#34,3
1218070252B01#2B01#32#36,1
1218070252B01#2B01#32#38,2
1218070252B01#2B01#34#33,5
1218070252B01#2B01#34#34,4
1218070252B01#2B01#34#36,5
1218070252B01#2B01#34#38,3
1218070262B01#2B01#32#28,71
1218070262B01#2B01#32#29,122
1218070262B01#2B01#32#30,182
1218070262B01#2B01#32#31,202
1218070262B01#2B01#32#32,180
1218070262B01#2B01#32#33,126
1218070262B01#2B01#32#34,48
1218070262B01#2B01#32#36,12
1218070262B01#2B01#34#31,4
1218070262B01#2B01#34#32,6
1218070262B01#2B01#34#33,8
1218070262B01#2B01#34#34,54
1218070262B01#2B01#34#36,26
1218070262B01#2B01#34#38,6
1218070292B01#2B01#32#29,4
1218070292B01#2B01#32#30,2
1218070292B01#2B01#32#31,2
1218070292B01#2B01#32#32,2
1218070302B01#2B01#32#28,2
1218070302B01#2B01#32#29,10
1218070302B01#2B01#32#30,8
1218070302B01#2B01#32#31,9
1218070302B01#2B01#32#32,8
1218070302B01#2B01#32#33,11
1218070302B01#2B01#32#34,2
1218070302B01#2B01#32#36,3
1218070302B01#2B01#32#38,1
1218070302B01#2B01#34#31,1
1218070302B01#2B01#34#32,2
1218070302B01#2B01#34#33,2
1218070302B01#2B01#34#34,1
1218070302B01#2B01#34#36,1
1218070302B01#2B01#34#38,2
1218070322B01#2B01#32#28,5
1218070322B01#2B01#32#29,7
1218070322B01#2B01#32#30,13
1218070322B01#2B01#32#31,12
1218070322B01#2B01#32#32,14
1218070322B01#2B01#32#34,3
1218070322B01#2B01#32#36,1
1218070322B01#2B01#34#31,3
1218070322B01#2B01#34#32,1
1218070322B01#2B01#34#33,2
1218070322B01#2B01#34#34,8
1218070322B01#2B01#34#36,2
1218070322B01#2B01#34#38,3
1218070352B01#2B01#32#29,5
1218070352B01#2B01#32#30,2
1218070352B01#2B01#32#31,3
1218070352B01#2B01#32#32,1
1218070352B01#2B01#32#33,1
1218070352B01#2B01#32#34,1
1218070352B01#2B01#34#38,2
1218070382B01#2B01#32#32,8
1218070382B01#2B01#32#33,1
1218070382B01#2B01#34#34,2
1218070392B01#2B01#32#28,11
1218070392B01#2B01#32#29,16
1218070392B01#2B01#32#30,21
1218070392B01#2B01#32#31,25
1218070392B01#2B01#32#32,13
1218070392B01#2B01#32#33,11
1218070392B01#2B01#32#34,7
1218070392B01#2B01#32#36,2
1218070392B01#2B01#32#38,1
1218070392B01#2B01#34#32,3
1218070392B01#2B01#34#33,1
1218070392B01#2B01#34#34,4
1218070392B01#2B01#34#36,1
1218070392B01#2B01#34#38,3
1218070442B01#2B01#32#28,1
1218070442B01#2B01#32#29,2
1218070442B01#2B01#32#30,1
1218070442B01#2B01#32#31,2
1218070442B01#2B01#32#32,3
1218070442B01#2B01#32#34,1
1218070442B01#2B01#32#36,1
1218070442B01#2B01#34#31,1
1218070442B01#2B01#34#33,1
1218070442B01#2B01#34#34,1
1218070442B01#2B01#34#36,1
1218070452B01#2B01#32#28,2
1218070452B01#2B01#32#30,4
1218070452B01#2B01#32#31,3
1218070452B01#2B01#32#32,6
1218070452B01#2B01#32#33,6
1218070452B01#2B01#32#34,1
1218070452B01#2B01#32#36,1
1218070452B01#2B01#32#38,1
1218070452B01#2B01#34#32,1
1218070452B01#2B01#34#34,3
1218070552B01#2B01#32#28,3
1218070552B01#2B01#32#29,5
1218070552B01#2B01#32#30,4
1218070552B01#2B01#32#31,2
1218070552B01#2B01#32#32,5
1218070552B01#2B01#32#33,4
1218070552B01#2B01#32#34,2
1218070552B01#2B01#34#34,1
1218070552B01#2B01#34#36,3
1218070702B01#2B01#32#28,3
1218070702B01#2B01#32#29,4
1218070702B01#2B01#32#30,8
1218070702B01#2B01#32#31,3
1218070702B01#2B01#32#32,5
1218070702B01#2B01#32#33,2
1218070702B01#2B01#32#34,1
1218070732B01#2B01#32#28,1
1218070732B01#2B01#32#30,1
1218070732B01#2B01#32#31,1
1218070732B01#2B01#32#32,3
1218070732B01#2B01#32#33,2
1218070732B01#2B01#32#34,2
1218070732B01#2B01#34#34,1
121807102B504#B504#00#L,2
121807102B504#B504#00#M,5
121813001B339#B339#00#L,1
121813001B339#B339#00#S,1
121813001B339#B339#00#XXL,2
1218620052B01#2B01#00#00,1
121901016B376#B376#32#24,3
121901016B376#B376#32#25,10
121901016B376#B376#32#26,11
121901016B376#B376#32#27,7
121901016B376#B376#32#28,6
121901016B376#B376#32#29,1
1219010192B01#2B01#00#M,12
1219010192B01#2B01#00#S,10
1219010192B01#2B01#00#XS,5
121901023B375#B375#00#24,5
121901023B375#B375#00#25,18
121901023B375#B375#00#26,13
121901023B375#B375#00#27,11
121901023B375#B375#00#28,5
121901023B375#B375#00#29,3
121901023C208#C208#00#24,5
121901023C208#C208#00#25,12
121901023C208#C208#00#26,18
121901023C208#C208#00#27,16
121901023C208#C208#00#28,3
121901023C208#C208#00#29,2
1219010262B01#2B01#00#24,4
1219010262B01#2B01#00#25,1
1219010262B01#2B01#00#26,10
1219010262B01#2B01#00#27,4
1219010262B01#2B01#00#28,1
121901029B504#B504#00#L,4
121901029B504#B504#00#M,2
121901029B504#B504#00#S,2
121901029B504#B504#00#XS,2
1219020012B01#2B01#00#L,1
1219020012B01#2B01#00#S,2
1219020012B01#2B01#00#XS,1
1219020022B01#2B01#00#L,39
1219020022B01#2B01#00#M,73
1219020022B01#2B01#00#S,78
1219020022B01#2B01#00#XL,10
1219020022B01#2B01#00#XS,32
121902004B575#B575#00#M,2
121902004B575#B575#00#S,2
121902005B902#B902#00#M,1
121902005B902#B902#00#S,2
121902007C208#C208#00#S,2
121902007C208#C208#00#XS,1
1219020092B01#2B01#00#M,2
1219020102B01#2B01#00#L,2
1219020102B01#2B01#00#M,4
1219020102B01#2B01#00#S,2
1219020112B01#2B01#00#L,3
1219020112B01#2B01#00#M,8
1219020112B01#2B01#00#S,10
1219020112B01#2B01#00#XL,2
1219020112B01#2B01#00#XS,5
121902013B069#B069#00#L,2
121902013B069#B069#00#M,3
121902013B069#B069#00#S,6
121902013B069#B069#00#XS,3
121902013B701#B701#00#L,6
121902013B701#B701#00#M,14
121902013B701#B701#00#S,10
121902016C208#C208#00#S,2
121902018C208#C208#00#L,1
121902018C208#C208#00#M,3
121902018C208#C208#00#S,1
121902020B807#B807#00#L,1
121902020B807#B807#00#M,2
121902020B807#B807#00#S,2
121902020B807#B807#00#XL,2
121902022B902#B902#00#M,1
1219030012B01#2B01#00#M,2
121903008B069#B069#00#M,2
121903008B578#B578#00#S,1
121903009B069#B069#00#L,2
121903009B069#B069#00#M,1
121903009B069#B069#00#S,1
121903009B069#B069#00#XS,3
121903009B578#B578#00#L,1
121903009B578#B578#00#M,1
121903009B578#B578#00#XS,1
1219030112B01#2B01#00#M,3
1219030112B01#2B01#00#S,8
1219030112B01#2B01#00#XS,5
1219030122B01#2B01#00#M,3
1219030132B01#2B01#00#L,10
1219030132B01#2B01#00#M,16
1219030132B01#2B01#00#S,9
1219030132B01#2B01#00#XL,4
1219030132B01#2B01#00#XS,4
1219030212B01#2B01#00#L,6
1219030212B01#2B01#00#M,15
1219030212B01#2B01#00#S,9
1219030212B01#2B01#00#XS,5
121903027B571#B571#00#L,5
121903027B571#B571#00#M,9
